ZIP Code,ZIP Code City/Town,Median Household Income(2021)
98001,Auburn,95605
98002,Auburn,59742
98003,Federal Way,63289
98004,Bellevue,154403
98005,Bellevue,145152
98006,Bellevue,170328
98007,Bellevue,111361
98008,Bellevue,147788
98010,Black Diamond,132540
98011,Bothell,107109
98014,Carnation,123982
98019,Duvall,145655
98022,Enumclaw,101591
98023,Federal Way,87820
98024,Fall City,145750
98027,Issaquah,128556
98028,Kenmore,121463
98029,Issaquah,144880
98030,Kent,77521
98031,Kent,89882
98032,Kent,69437
98033,Kirkland,149131
98034,Kirkland,111002
98038,Maple Valley,124164
98039,Medina,208500
98040,Mercer Island,170000
98042,Kent,113579
98045,North Bend,123651
98047,Pacific,68965
98051,Ravensdale,98049
98052,Redmond,149492
98053,Redmond,160208
98055,Renton,83621
98056,Renton,95088
98057,Renton,62469
98058,Renton,98648
98059,Renton,113618
98065,Snoqualmie,162833
98070,Vashon,94123
98072,Woodinville,140906
98074,Sammamish,207341
98075,Sammamish,216337
98077,Woodinville,164148
98092,Auburn,101725
98101,Seattle,96893
98102,Seattle,102466
98103,Seattle,113443
98104,Seattle,60955
98105,Seattle,73343
98106,Seattle,84506
98107, Seattle,113531
98108,Seattle,74985
98109,Seattle,111059
98112,Seattle,133267
98115,Seattle,128443
98116,Seattle,124795
98117,Seattle,146887
98118,Seattle,94790
98119,Seattle,106245
98121,Seattle,135823
98122,Seattle,87418
98125,Seattle,82439
98126,Seattle,97368
98133,Seattle,77602
98134,Seattle,64375
98136,Seattle,130978
98144,Seattle,90239
98146,Seattle,91667
98148,Seattle,77490
98155,Seattle,109731
98164,Seattle,250001
98166,Seattle,102994
98168,Seattle,71977
98177, Seattle,138401
98178,Seattle,87788
98188,Seattle,71223
98198,Seattle,69833
98199,Seattle,148878
98224,Baring,65417
98925,Easton,94844